id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
314,US,913,RIC,CLT,2,330,72,0
315,XE,2263,BTR,IAH,2,330,72,0
316,XE,3024,HRL,IAH,2,330,70,0
317,YV,2605,MYR,CLT,2,330,62,0
318,HA,103,HNL,LIH,2,331,35,0
319,UA,576,SEA,DEN,2,331,159,0
320,OO,6644,TUS,DEN,2,333,112,0
321,YV,7294,SBN,ORD,2,334,46,1
322,9E,3725,TVC,DTW,2,335,75,0
323,9E,3804,CLE,ATL,2,335,128,1
324,AA,674,ORD,MIA,2,335,185,1
325,B6,728,BQN,JFK,2,335,231,1
326,CO,463,ORD,IAH,2,335,164,0
327,EV,5038,CAK,DTW,2,335,76,1
328,OH,6423,DAY,DTW,2,335,75,0
329,OO,6698,MFR,PDX,2,335,74,1
330,XE,2865,MKE,IAH,2,335,174,0
331,EV,7123,BTV,IAD,2,336,110,0
332,9E,3998,TLH,ATL,2,338,68,0
333,9E,4196,TYS,ATL,2,340,57,0
334,CO,214,DFW,IAH,2,340,59,0
335,DL,2123,BOS,DTW,2,340,144,0
336,DL,2597,RIC,ATL,2,340,109,0
337,DL,2626,FLL,ATL,2,340,118,0
338,DL,684,AUS,ATL,2,340,134,0
339,EV,5583,CHA,ATL,2,340,47,1
340,MQ,4563,CMH,LGA,2,340,100,1
341,XE,2616,LRD,IAH,2,340,66,0
342,XE,3006,BRO,IAH,2,340,70,0
343,XE,3015,CRP,IAH,2,340,59,0
344,9E,3659,ALB,ATL,2,345,183,0
345,9E,3862,SAT,MEM,2,345,119,0
346,9E,3949,PVD,DTW,2,345,135,1
347,9E,4143,FWA,DTW,2,345,59,0
348,AA,1141,JFK,MIA,2,345,190,0
349,AA,1297,DFW,MIA,2,345,160,0
350,AA,2320,DFW,ORD,2,345,140,0
351,CO,1677,PHL,IAH,2,345,219,0
352,CO,1727,BWI,IAH,2,345,208,0
353,CO,240,AUS,IAH,2,345,55,0
354,CO,278,SAT,IAH,2,345,54,0
355,CO,633,LGA,IAH,2,345,235,0
356,DL,1095,OKC,ATL,2,345,127,0
357,DL,1112,PIT,ATL,2,345,131,0
358,DL,1506,LAX,DTW,2,345,270,0
359,DL,2320,PBI,ATL,2,345,113,0
360,DL,2481,ORF,ATL,2,345,120,0
361,DL,2710,DFW,ATL,2,345,132,0
362,DL,2939,DCA,ATL,2,345,120,1
363,EV,5142,AEX,ATL,2,345,119,0
364,EV,5218,SYR,ATL,2,345,158,1
365,EV,5233,BTR,ATL,2,345,97,1
366,EV,5362,SHV,ATL,2,345,123,0
367,EV,5501,VLD,ATL,2,345,62,0
368,FL,557,BUF,ATL,2,345,150,0
369,OH,6264,BDL,CVG,2,345,133,0
370,OH,6549,MFE,MEM,2,345,118,0
371,OO,6407,FAT,SFO,2,345,45,0
372,OO,6523,PHX,LAX,2,345,85,0
373,OO,6647,BZN,DEN,2,345,107,0
374,OO,6964,RDM,PDX,2,345,58,0
375,US,1423,DCA,CLT,2,345,85,0
376,XE,2919,LFT,IAH,2,345,58,0
377,XE,5951,CAK,ORD,2,345,95,0
378,OO,6480,IPL,YUM,2,346,34,0
379,OO,6843,EAU,CWA,2,346,32,0
380,UA,756,SFO,DEN,2,348,158,0
381,OO,3099,OMA,MKE,2,349,81,0
382,9E,3718,ERI,DTW,2,350,65,0
383,B6,107,BUF,JFK,2,350,83,0
384,DL,1248,IAH,ATL,2,350,130,0
385,DL,1985,DAY,ATL,2,350,114,0
386,DL,2387,MKE,ATL,2,350,129,0
387,DL,2405,PHL,DTW,2,350,115,0
388,DL,734,MCI,ATL,2,350,129,1
389,EV,5165,AGS,ATL,2,350,60,1
390,MQ,2734,ABI,DFW,2,350,50,0
391,MQ,2796,GRR,DFW,2,350,175,1
392,MQ,3014,FAT,LAX,2,350,65,0
393,MQ,3332,LBB,DFW,2,350,70,0
394,MQ,3632,CLT,MIA,2,350,120,0
395,MQ,3781,LIT,ORD,2,350,105,0
396,MQ,3842,MSP,ORD,2,350,95,0
397,MQ,3892,PHL,ORD,2,350,140,0
398,MQ,4013,LEX,ORD,2,350,95,1
399,OH,6498,ORD,ATL,2,350,128,0
400,OH,6629,GRR,DTW,2,350,61,0
401,9E,4391,MBS,DTW,2,351,59,0
402,HA,218,HNL,KOA,2,352,41,0
403,OO,6642,MOD,SFO,2,352,38,0
404,9E,3836,OMA,DTW,2,355,145,1
405,9E,3935,EWR,DTW,2,355,130,0
406,9E,3955,LBB,MEM,2,355,119,1
407,9E,4200,TYS,CVG,2,355,64,0
408,9E,4274,AMA,MEM,2,355,120,0
409,B6,735,JFK,BQN,2,355,215,0
410,DL,2356,RDU,DTW,2,355,125,0
411,DL,377,BDL,DTW,2,355,130,0
412,FL,331,PHL,ATL,2,355,140,0
413,HA,202,HNL,ITO,2,355,49,0
414,MQ,2864,SGF,DFW,2,355,90,0
415,OH,6414,AZO,DTW,2,355,58,0
416,OO,7014,RDM,SFO,2,355,101,0
417,9E,3668,TYS,LGA,2,360,131,0
418,9E,3724,ABE,DTW,2,360,115,0
419,9E,3755,SWF,DTW,2,360,120,0
420,9E,3757,BGM,DTW,2,360,103,0
421,9E,3795,SBN,CVG,2,360,60,0
422,9E,3845,AVP,DTW,2,360,105,0
423,9E,3850,FNT,DTW,2,360,48,0
424,9E,3871,BHM,DTW,2,360,125,1
425,9E,3875,GSP,DTW,2,360,115,1
426,9E,3893,FWA,ATL,2,360,115,0
427,9E,3923,IAH,MEM,2,360,95,0
428,9E,3957,ATW,MSP,2,360,76,0
429,9E,3985,DSM,MEM,2,360,100,0
430,9E,4026,ORF,DTW,2,360,125,0
431,9E,4239,ITH,DTW,2,360,97,0
432,9E,4272,ECP,MEM,2,360,90,0
433,9E,4324,DCA,JFK,2,360,82,1
434,AA,1056,TUL,DFW,2,360,70,0
435,AA,1140,SAT,DFW,2,360,65,0
436,AA,1143,TPA,DFW,2,360,170,0
437,AA,1215,DCA,DFW,2,360,210,0
438,AA,1225,COS,DFW,2,360,120,0
439,AA,1406,OMA,DFW,2,360,125,0
440,AA,1584,LAS,DFW,2,360,160,1
441,AA,1596,PDX,DFW,2,360,225,0
442,AA,1602,ELP,DFW,2,360,100,0
443,AA,1615,BDL,DFW,2,360,260,0
444,AA,1631,MSY,MIA,2,360,105,0
445,AA,1670,AUS,ORD,2,360,165,0
446,AA,1755,ABQ,DFW,2,360,105,0
447,AA,1839,OKC,DFW,2,360,60,0
448,AA,1843,BOS,ORD,2,360,175,0
449,AA,1878,SMF,DFW,2,360,205,0
450,AA,1895,LGA,MIA,2,360,190,0
451,AA,1921,EWR,MIA,2,360,185,0
452,AA,1965,STL,DFW,2,360,115,0
453,AA,269,SFO,IAH,3,15,205,1
454,US,1558,PHX,CLT,3,15,222,1
455,AA,2400,LAX,DFW,3,20,165,1
456,AA,2466,SFO,DFW,3,20,195,1
457,AS,108,ANC,SEA,3,30,202,0
458,CO,1094,LAX,IAH,3,30,181,1
459,DL,1768,LAX,MSP,3,30,220,0
460,DL,2722,PHX,DTW,3,30,228,0
461,DL,2606,SFO,MSP,3,35,216,1
462,AA,2538,LAS,ORD,3,40,200,1
463,CO,223,ANC,SEA,3,49,201,1
464,DL,1646,PHX,ATL,3,50,212,1
465,DL,2055,SLC,ATL,3,50,210,0
466,AA,2408,LAX,DFW,3,55,170,0
467,AS,132,ANC,PDX,3,55,215,0
468,US,498,DEN,CLT,3,55,179,0
469,B6,98,DEN,JFK,3,59,213,0
470,CO,1496,LAS,IAH,3,60,162,0
471,DL,1450,LAS,MSP,3,60,181,0
472,CO,507,ONT,IAH,3,75,167,0
473,AS,128,FAI,SEA,3,80,206,0
474,DL,2223,ANC,SLC,3,85,270,0
475,AS,112,ANC,SEA,3,90,200,0
476,HA,17,LAS,HNL,3,100,380,1
477,US,122,ANC,PHX,3,113,327,1
478,AS,114,ANC,SEA,3,150,200,0
479,B6,766,BQN,MCO,3,240,169,0
480,B6,768,PSE,MCO,3,262,180,0
481,HA,206,HNL,OGG,3,300,36,1
482,OO,4746,BIS,MSP,3,300,85,0
483,OO,6466,IYK,LAX,3,300,53,0
484,US,1011,EWR,CLT,3,300,111,0
485,US,1983,BOS,CLT,3,300,135,0
486,HA,108,HNL,KOA,3,302,41,0
487,OO,6900,MKE,ORD,3,302,44,0
488,9E,3975,GFK,MSP,3,305,68,0
489,HA,102,HNL,ITO,3,305,49,0
490,OO,4829,OMA,MSP,3,305,75,0
491,OH,6338,GSO,ATL,3,315,93,1
492,OO,6505,LMT,SFO,3,315,95,0
493,US,149,SEA,PHX,3,315,166,1
494,US,1640,MCO,CLT,3,315,97,0
495,US,908,TPA,CLT,3,315,96,0
496,HA,106,HNL,OGG,3,317,36,0
497,9E,3854,DLH,MSP,3,320,58,1
498,DL,1276,MSP,ATL,3,320,158,0
499,OO,4651,FAR,MSP,3,320,62,1
500,CO,1585,MFE,IAH,3,325,64,0
501,CO,222,MSY,IAH,3,325,70,0
502,EV,4966,VPS,ATL,3,325,69,0
503,US,1521,BWI,CLT,3,325,83,0
504,XE,2827,MAF,IAH,3,325,85,0
505,OO,4719,LWS,SLC,3,328,87,1
506,9E,3702,RST,MSP,3,330,50,0
507,9E,3775,ALB,DTW,3,330,120,1
508,9E,3886,DSM,ATL,3,330,135,1
509,AA,1711,BOS,MIA,3,330,210,0
510,CO,611,EWR,IAH,3,330,233,0
511,DL,1143,CHS,ATL,3,330,72,0
512,DL,1511,MSN,DTW,3,330,80,0
513,DL,1518,MCO,ATL,3,330,84,0
514,DL,1698,JAX,ATL,3,330,80,0
515,DL,1842,SAT,ATL,3,330,142,0
516,DL,1972,TPA,ATL,3,330,85,0
517,DL,2054,PNS,ATL,3,330,75,0
518,DL,2112,BHM,ATL,3,330,58,0
519,DL,2306,LIT,ATL,3,330,97,0
520,DL,2711,SAV,ATL,3,330,65,0
521,DL,2995,BNA,ATL,3,330,67,0
522,EV,4940,OMA,ATL,3,330,147,0
523,EV,5014,ICT,ATL,3,330,132,0
524,EV,5044,ECP,ATL,3,330,68,0
525,EV,5117,DHN,ATL,3,330,70,0
526,EV,5393,MGM,ATL,3,330,57,0
527,EV,5532,CAE,ATL,3,330,64,1
528,EV,7108,PWM,IAD,3,330,114,0
529,OO,6917,ACV,SMF,3,330,65,0
530,OO,7781,EKO,SLC,3,330,70,0
531,US,1289,BOS,PHL,3,330,84,0
532,US,1420,PHL,CLT,3,330,102,0
533,US,1732,ATL,CLT,3,330,68,1
534,US,347,PDX,PHX,3,330,148,0
535,US,913,RIC,CLT,3,330,72,0
536,XE,2263,BTR,IAH,3,330,72,1
537,XE,3024,HRL,IAH,3,330,70,0
538,YV,2605,MYR,CLT,3,330,62,0
539,HA,103,HNL,LIH,3,331,35,0
540,UA,576,SEA,DEN,3,331,159,0
541,OO,6644,TUS,DEN,3,333,112,0
542,YV,7294,SBN,ORD,3,334,46,0
543,9E,3661,CAK,DTW,3,335,76,0
544,9E,3725,TVC,DTW,3,335,75,0
545,9E,3804,CLE,ATL,3,335,128,0
546,AA,674,ORD,MIA,3,335,185,1
547,B6,728,BQN,JFK,3,335,231,0
548,CO,463,ORD,IAH,3,335,164,1
549,OH,6423,DAY,DTW,3,335,75,0
550,OO,6698,MFR,PDX,3,335,74,0
551,XE,2865,MKE,IAH,3,335,174,0
552,EV,7101,BTV,IAD,3,336,110,0
553,9E,3998,TLH,ATL,3,338,68,0
554,9E,4196,TYS,ATL,3,340,57,0
555,CO,214,DFW,IAH,3,340,59,1
556,DL,2123,BOS,DTW,3,340,144,0
557,DL,2597,RIC,ATL,3,340,109,0
558,DL,2626,FLL,ATL,3,340,118,0
559,DL,684,AUS,ATL,3,340,134,0
560,EV,5583,CHA,ATL,3,340,47,0
561,MQ,4563,CMH,LGA,3,340,100,0
562,XE,2616,LRD,IAH,3,340,66,1
563,XE,3006,BRO,IAH,3,340,70,0
564,XE,3015,CRP,IAH,3,340,59,1
565,XE,5970,LAN,ORD,3,340,71,0
566,9E,3659,ALB,ATL,3,345,183,0
567,9E,3862,SAT,MEM,3,345,119,1
568,9E,3949,PVD,DTW,3,345,135,1
569,9E,4143,FWA,DTW,3,345,59,0
570,AA,1141,JFK,MIA,3,345,190,0
571,AA,1297,DFW,MIA,3,345,160,0
572,AA,2320,DFW,ORD,3,345,140,0
573,CO,1677,PHL,IAH,3,345,219,0
574,CO,1727,BWI,IAH,3,345,208,0
575,CO,240,AUS,IAH,3,345,55,0
576,CO,278,SAT,IAH,3,345,54,0
577,CO,633,LGA,IAH,3,345,235,0
578,DL,1095,OKC,ATL,3,345,127,0
579,DL,1112,PIT,ATL,3,345,131,1
580,DL,1506,LAX,DTW,3,345,270,0
581,DL,1580,SFO,DTW,3,345,270,0
582,DL,2320,PBI,ATL,3,345,113,0
583,DL,2481,ORF,ATL,3,345,120,0
584,DL,2710,DFW,ATL,3,345,132,0
585,DL,2939,DCA,ATL,3,345,120,1
586,EV,5142,AEX,ATL,3,345,119,0
